0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:35 +0530] "GET /springmvc/client1.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:35 +0530] "GET /springmvc/client2.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:35 +0530] "GET /springmvc/client3.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:35 +0530] "GET /springmvc/client4.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:35 +0530] "GET /springmvc/adhyayan-sarthi HTTP/1.1" 200 6593
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:35 +0530] "GET /springmvc/styles/AdhyayanSarthi.css HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:35 +0530] "GET /springmvc/favicon%20(1)%20(1).png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:35 +0530] "GET /springmvc/anand-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:35 +0530] "GET /springmvc/anuj1-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:35 +0530] "GET /springmvc/1670033747690-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:35 +0530] "GET /springmvc/client1.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:35 +0530] "GET /springmvc/client2.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:35 +0530] "GET /springmvc/client3.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:35 +0530] "GET /springmvc/client4.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:36 +0530] "GET /springmvc/adhyayan-sarthi HTTP/1.1" 200 6593
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:36 +0530] "GET /springmvc/styles/AdhyayanSarthi.css HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:36 +0530] "GET /springmvc/favicon%20(1)%20(1).png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:36 +0530] "GET /springmvc/anand-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:36 +0530] "GET /springmvc/1670033747690-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:36 +0530] "GET /springmvc/anuj1-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:36 +0530] "GET /springmvc/client1.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:36 +0530] "GET /springmvc/client2.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:36 +0530] "GET /springmvc/client4.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:07:36 +0530] "GET /springmvc/client3.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:10:45 +0530] "GET /springmvc/adhyayan-sarthi HTTP/1.1" 200 6593
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:10:45 +0530] "GET /springmvc/styles/AdhyayanSarthi.css HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:10:45 +0530] "GET /springmvc/favicon%20(1)%20(1).png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:10:45 +0530] "GET /springmvc/anand-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:10:45 +0530] "GET /springmvc/1670033747690-removebg-preview.png HTTP/1.1" 404 683
